Pin,PrimarySignal,Peripheral,Category,EnabledIn,ConflictGroup,Notes
PC8,SDIO_D0,SDIO,Optional,SD_CARD_PROFILE,SDIO_CAMERA,与DCMI_D2冲突
PC8,DCMI_D2,DCMI,Optional,CAMERA_PROFILE,SDIO_CAMERA,与SDIO_D0冲突
PC9,SDIO_D1,SDIO,Optional,SD_CARD_PROFILE,SDIO_CAMERA,与DCMI_D3冲突
PC9,DCMI_D3,DCMI,Optional,CAMERA_PROFILE,SDIO_CAMERA,与SDIO_D1冲突
PC10,SDIO_D2,SDIO,Optional,SD_CARD_PROFILE,SDIO_CAMERA,与DCMI_D4冲突
PC10,DCMI_D4,DCMI,Optional,CAMERA_PROFILE,SDIO_CAMERA,与SDIO_D2冲突
PC11,SDIO_D3,SDIO,Optional,SD_CARD_PROFILE,NONE,TF卡数据3
PC12,SDIO_CK,SDIO,Optional,SD_CARD_PROFILE,NONE,TF卡时钟
PC13,T_CS,GPIO,Optional,LCD_TOUCH_PROFILE,NONE,触摸片选
PC14,LSE_IN,RCC,Fixed,RTC_PROFILE,NONE,板载32.768kHz
PC15,LSE_OUT,RCC,Fixed,RTC_PROFILE,NONE,板载32.768kHz
PD0,FSMC_D2,FSMC,Optional,FSMC_PROFILE,CAN1,外部SRAM和LCD数据2
PD1,FSMC_D3,FSMC,Optional,FSMC_PROFILE,CAN1,外部SRAM和LCD数据3
PD2,SDIO_CMD,SDIO,Optional,SD_CARD_PROFILE,NONE,TF卡命令
PD4,FSMC_NOE,FSMC,Optional,FSMC_PROFILE,NONE,读使能
PD5,FSMC_NWE,FSMC,Optional,FSMC_PROFILE,NONE,写使能
PD6,DCMI_SCL,I2C1_ALT,Optional,CAMERA_PROFILE,NONE,摄像头SCCB时钟网络
PD7,DCMI_SDA,I2C1_ALT,Optional,CAMERA_PROFILE,NONE,摄像头SCCB数据网络
PD8,FSMC_D13,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据13
PD9,FSMC_D14,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据14
PD10,FSMC_D15,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据15
PD11,FSMC_A16,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址16
PD12,FSMC_A17,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址17
PD13,FSMC_A18,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址18
PD14,FSMC_D0,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据0
PD15,FSMC_D1,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据1
PE0,FSMC_NBL0,FSMC,Optional,FSMC_PROFILE,NONE,低字节选通
PE1,FSMC_NBL1,FSMC,Optional,FSMC_PROFILE,NONE,高字节选通
PE4,KEY0,GPIO,FirstApp,APP_BASE,NONE,按键输入高有效建议下拉
PE5,DCMI_D6,DCMI,Optional,CAMERA_PROFILE,NONE,摄像头数据6
PE6,DCMI_D7,DCMI,Optional,CAMERA_PROFILE,NONE,摄像头数据7
PE7,FSMC_D4,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据4
PE8,FSMC_D5,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据5
PE9,FSMC_D6,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据6
PE10,FSMC_D7,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据7
PE11,FSMC_D8,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据8
PE12,FSMC_D9,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据9
PE13,FSMC_D10,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据10
PE14,FSMC_D11,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据11
PE15,FSMC_D12,FSMC,Optional,FSMC_PROFILE,NONE,外部总线数据12
PF0,FSMC_A0,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址0
PF1,FSMC_A1,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址1
PF2,FSMC_A2,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址2
PF3,FSMC_A3,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址3
PF4,FSMC_A4,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址4
PF5,FSMC_A5,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址5
PF9,LED0,GPIO,FirstBoth,BOOT_BASE|APP_BASE,NONE,低电平点亮
PF10,LED1,GPIO,FirstBoth,BOOT_BASE|APP_BASE,NONE,低电平点亮
PF11,T_MOSI,GPIO,Optional,LCD_TOUCH_PROFILE,NONE,触摸数据输出
PF12,FSMC_A6,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址6
PF13,FSMC_A7,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址7
PF14,FSMC_A8,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址8
PF15,FSMC_A9,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址9
PG0,FSMC_A10,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址10
PG1,FSMC_A11,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址11
PG2,FSMC_A12,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址12
PG3,FSMC_A13,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址13
PG4,FSMC_A14,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址14
PG5,FSMC_A15,FSMC,Optional,FSMC_PROFILE,NONE,外部总线地址15
PG10,FSMC_NE3,FSMC,Optional,FSMC_PROFILE,NONE,外部SRAM片选
PG11,DCMI_PWDN,GPIO,Optional,CAMERA_PROFILE,NONE,摄像头掉电控制
PG12,FSMC_NE4,FSMC,Optional,LCD_PROFILE,NONE,LCD片选
PG15,DCMI_RESET,GPIO,Optional,CAMERA_PROFILE,NONE,摄像头复位
PH0,HSE_IN,RCC,Fixed,BOOT_BASE|APP_BASE,NONE,板载8MHz
PH1,HSE_OUT,RCC,Fixed,BOOT_BASE|APP_BASE,NONE,板载8MHz
